ACER
Hewlett-Packard,HP Mini 5101 (page does not exist),1.20,2.64,10.1,1024x600 1366x768,117 155,Intel Atom,1.667,,Intel GMA,VGA," Solid-state drive, Solid-state drive "," 80, 128, 160, 250, 320 ",1-2,4.5 (4-cell),9 (6-cell),92%,2MP,Touchpad buttons below,Suse Enterprise,Windows XP,
" Impulse (brand) (page does not exist), a division of Impulse (brand) (page does not exist) ",Skytone Alpha-400Skytone Alpha-400Skytone Alpha-400,0.72,1.58,7,480x324,82,X-Scale ARM,0.4,,?,?,NAND,1,0.125,2100 mAh Lithium-ion polymer battery,?,80%,?,," Linux 2.4 based Highne 2008,[51] Xenium ",None (non-x86 based),
INTEL
" Intel, Intel ",Classmate PC,1.45,3.20,7,800×480  Wide VGA  matte,133,Intel Celeron,0.9,,?,None,Flash memory,2,0.25,?,?,?,?,," Mandriva, Mandriva ",Windows XP,
INVENTEC
Inventec,Kohjinsha SC3 (page does not exist)Kohjinsha SC3 (page does not exist),0.798,1.76,7,1024x600,169,Intel Atom,1.33,,?,?,Solid-state drive,?,?,?,?,?,?,,?,Windows Vista Ultimate,
Inventec,Kohjinsha SX3 (page does not exist)Kohjinsha SX3 (page does not exist),1.2,2.64,8.9,1280x768,168,Intel Atom,1.3,,?,?,Solid-state drive,?,?,?,?,?,?,,?,Windows Vista,
LEMOTE
Manufacturer,Model,Weight [Kilogram],Weight [Pound (weight)]," Viewable image size "" ",Display resolution,Display DPI [Note 1],Central processing unit,Speed [GHz],HSDPA,Video chipset,Video connection(s),Computer data storage,Storage [Gigabyte],Random-access memory [Random-access memory],Battery life [Hour] (low end),Battery life [Hour] (high end),Keyboard (computing) in % Keyboard (computing),Video Camera,Mouse (computing) layout,Linux/Linux Linux choice(s),Microsoft Windows Microsoft Windows choice(s),Manual / DataSheet
Lemote,Lemote YeeLoong (page does not exist) (?),1.0,2.2,8.9,1024×600   WSVGA,133,Loongson,0.9,,SM 712,VGA,Hard disk drive/SSD,160,1,2.5 (3-cell),5.5 (6-cell),95%,?,,Debian,None (not x86 based),
LENOVO
Lenovo Group,Lenovo IdeaPad S10Lenovo IdeaPad S10," 1.1, 1.3 "," 2.43, 2.87 ",10.2,1024×600   Super video graphics array matte,116,Intel Atom,1.6,,Intel GMA,VGA,Hard disk drive,160,1,3 (3-cell),6 (6-cell),85%,1.3Pixel,,SUSE Linux Enterprise Desktop (no longer offered Apr 2009)," Windows XP, Windows XP ",
LG
LG Electronics,LG X110 (page does not exist)   (LG X110 (page does not exist) version of LG X110 (page does not exist)) LG X110 (page does not exist)LG X110 (page does not exist),1.19,2.62,10,1024×600  WSVGA matte,118,Intel Atom,1.6,,?,?,Hard disk drive," 80, 120, 160 "," 0.5, 1 ",?,?,?,?,,?,Windows XP,
LG Electronics,Xnote B8310 (page does not exist)Xnote B8310 (page does not exist),0.59,1.30,4.8,800×480,194,Intel Atom,?,,?,?,Hard disk drive,?,1,?,?,?,?,,?,?,
MAXDATA BELINEA,,,,,,,,,,,,,,,,,,,,,,
Maxdata,BelineaBelinea,1.0,2.2,8.9,?,?,VIA C7,1–1.2,,?,?,Solid-state drive,?,?,?,?,?,?,,?,Windows Vista,
MEDION
Medion,Medion Akoya E1210 Mini   (Medion Akoya E1210 Mini version of Medion Akoya E1210 Mini) Medion Akoya E1210 MiniMedion Akoya E1210 Mini,1.2,2.65,10,1024×600  WSVGA matte,118,Intel Atom,1.6,,?,VGA,Hard disk drive," 80, 160 ",1,?,?,?,?,,?,Windows XP,
MSI
Marketing Science Institute,MSI Wind Netbook U100," 1.04, 1.18 "," 2.29, 2.6 ",10,1024×600   WSVGA matte,118,Intel Atom,0.8 ~ 1.6 / 2.0 oc.,,GMA 950,VGA,Hard disk drive,80 / 120 / 160," 0.5, 1 ",2.5 (3-cell),5.5 (6-cell),95%,1.3MP,,Suse Linux,Windows XP,
